Case,Category,Matched_objects
Berlin power,generator,2443
Berlin power,substation,1903
Berlin power,tower,869
Berlin power,cable,383
Berlin power,pole,274
Berlin power,lifecycle,272
South Korea aeroway,taxiway,5081
South Korea aeroway,helipad,2025
South Korea aeroway,parking position,489
South Korea aeroway,navigation aid,449
South Korea aeroway,hangar,357
South Korea aeroway,gate,241
New York pipeline,storage candidate,1913
New York pipeline,pipeline,835
New York pipeline,water,293
New York pipeline,gas,201
New York pipeline,transmission,145
New York pipeline,valve,122
